Date,PRCP,Snow,Tmax,Tmin,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,Year,Day_of_Week,Opponent,Win,Lost,Attendance,GameBehind
2/7/2014,0,0,30,19,122,3.7,4.1,99,99,99,999,1019,24.8,25.1,999,99,99,2014,Wed,Sacramento,18,33,18624,15
1/21/2017,0,0,55,37,192,6.5,20.3,99,99,99,999,2299,24.8,163.6,999,99,99,2017,Sun,Portland,26,17,18624,-9
12/8/2012,0.34,0,47,43,114,6.1,6.9,99,99,99,999,1015,24.9,25.6,999,99,99,2012,Sat,Philadelphia,11,9,18624,-2
4/10/2013,0.19,0,54,45,108,8.2,9.1,99,99,99,999,1018,24.9,24.5,999,99,99,2013,Tue,Brooklyn,40,38,18624,-2
4/16/2014,0.36,0.3,45,31,136,5.1,5.6,99,99,99,999,1015,24.9,25.4,999,99,99,2014,Mon,Washington,25,57,18624,32
11/5/2014,0,0,66,47,76,10.4,11.6,99,99,99,999,1019,24.9,25.7,999,99,99,2014,Mon,Toronto,1,3,16249,2
12/5/2014,0.11,0,42,26,81,8.1,9.1,99,99,99,999,1020,24.9,24.5,999,99,99,2014,Wed,Los Angeles,6,11,18624,5
1/12/2015,0.2,0,38,33,111,9.7,10.7,99,99,99,999,1021,24.9,25.2,999,99,99,2015,Fri,New Orleans,13,23,16906,10
3/1/2017,0.02,0,63,48,115,7,7.7,99,99,99,999,1020,24.9,25,999,99,99,2017,Thu,Cleveland,39,22,18624,-17
3/31/2017,0.87,0.6,40,33,178,7,7.8,99,99,99,999,1015,24.9,25.6,999,99,99,2017,Sat,Orlando,49,27,18624,-22
11/24/2017,0,0,50,31,296,4.5,5.3,99,99,99,999,1012,24.9,26.7,999,99,99,2017,Sat,OrlandoOrlando,17,3,18624,-14
12/2/2017,0,0,43,34,56,6.7,11.7,99,99,99,999,1427,24.9,70,999,99,99,2017,Sun,PhoenixPhoenix,20,4,18624,-16
3/11/2015,0.01,0,57,37,115,6.7,7.4,99,99,99,999,1020,25,24.9,999,99,99,2015,Sun,Memphis,27,36,17135,9
1/9/2013,0,0,46,28,120,8.7,9.8,99,99,99,999,1022,25.1,24.8,999,99,99,2013,Tue,Phoenix,18,17,18624,-1
11/15/2013,0,0,62,38,89,10.3,11.5,99,99,99,999,1019,25.1,26.7,999,99,99,2013,Thu,Portland,4,6,18624,2
1/2/2015,0,0,41,31,116,6.7,7.3,99,99,99,999,1022,25.2,25.6,999,99,99,2015,Tue,Dallas,11,19,18624,8
12/23/2016,0,0,46,35,131,12.6,27.7,99,99,99,999,1966,25.2,231.1,999,99,99,2016,Sun,Oklahoma City,17,13,18624,-4
12/28/2013,0,0,48,27,102,9.1,10.2,99,99,99,999,1020,25.3,25.5,999,99,99,2013,Fri,Cleveland,13,17,18264,4
11/27/2015,0,0,64,48,67,12.1,13.6,99,99,99,999,1020,25.3,26.2,999,99,99,2015,Tue,Washington,9,7,18624,-2
11/22/2013,0.25,0,48,42,86,7.9,8.8,99,99,99,999,1019,25.4,27,999,99,99,2013,Thu,Indiana,4,10,18624,6
1/5/2015,0,0,50,17,102,5.3,5.8,99,99,99,999,1025,25.4,25.7,999,99,99,2015,Fri,Charlotte,11,21,16720,10
